location,size,total_sqft,bath,price,bhk,price_per_sqft,age,age_factor,original_price
1st Block Jayanagar,4 BHK,2850.0,4.0,402.32,4,15017.543859649122,6,0.94,428.0
1st Block Jayanagar,3 BHK,1630.0,3.0,149.38,3,11901.840490797545,19,0.77,194.0
1st Block Jayanagar,3 BHK,1875.0,2.0,131.60000000000002,3,12533.333333333334,28,0.56,235.0
1st Block Jayanagar,3 BHK,1200.0,2.0,111.8,3,10833.333333333334,14,0.86,130.0
1st Block Jayanagar,2 BHK,1235.0,2.0,133.2,2,11983.805668016194,10,0.8999999999999999,148.0
1st Block Jayanagar,4 BHK,2750.0,4.0,384.09,4,15018.181818181818,7,0.9299999999999999,413.0
1st Block Jayanagar,4 BHK,2450.0,4.0,206.08,4,15020.408163265307,28,0.56,368.0
1st Phase JP Nagar,4 BHK,2825.0,4.0,187.5,4,8849.557522123894,20,0.75,250.0
1st Phase JP Nagar,3 BHK,1875.0,3.0,156.98,3,8906.666666666666,6,0.94,167.0
1st Phase JP Nagar,5 Bedroom,1500.0,5.0,55.25,5,5666.666666666667,25,0.65,85.0
1st Phase JP Nagar,3 BHK,2065.0,4.0,165.9,3,10169.49152542373,18,0.79,210.0
1st Phase JP Nagar,3 BHK,2024.0,3.0,111.47,3,7756.916996047431,22,0.71,157.0
1st Phase JP Nagar,3 BHK,2059.0,3.0,202.49999999999997,3,10927.634774162214,10,0.8999999999999999,225.0
1st Phase JP Nagar,2 BHK,1394.0,2.0,89.99999999999999,2,7173.601147776184,10,0.8999999999999999,100.0
1st Phase JP Nagar,2 BHK,1077.0,2.0,64.17,2,8635.097493036212,23,0.69,93.0
1st Phase JP Nagar,2 Bedroom,1566.0,2.0,135.0,2,11494.252873563219,20,0.75,180.0
1st Phase JP Nagar,1 BHK,840.0,2.0,49.15,1,5952.380952380952,3,0.983,50.0
1st Phase JP Nagar,3 BHK,1590.0,3.0,121.83,3,8238.993710691824,7,0.9299999999999999,131.0
